title,genre,description
The Notebook,Romance,A beautiful love story between two people
Pride and Prejudice,Romance,A classic romantic story about love and relationships
The Hobbit,Adventure,A fantasy adventure about a hobbit and his dangerous journey
Treasure Island,Adventure,An exciting pirate adventure involving treasure and exploration
Dracula,Horror,A dark horror story about a mysterious vampire
The Shining,Horror,A terrifying story about a haunted hotel
The Martian,Science Fiction,A science fiction survival story about an astronaut on Mars
Dune,Science Fiction,A science fiction adventure about planets politics and survival
Atomic Habits,Self Help,A book about building good habits and improving your life
Deep Work,Self Help,A book about focus productivity and meaningful work
